Población Total por Provincia y Sexo
Años 2018 y 2019

Provincia;Población total 2019;Población total 2018;Población Hombres 2019;Población Hombres 2018;Población Mujeres 2019;Población Mujeres 2018
02 Albacete;388167.0;388786.0;193911.0;194158.0;194256.0;194628.0
03 Alicante;1858683.0;1838819.0;920915.0;911097.0;937768.0;927722.0
04 Almería;716820.0;709340.0;365701.0;361319.0;351119.0;348021.0
01 Álava;331549.0;328868.0;163499.0;162175.0;168050.0;166693.0
33 Asturias;1022800.0;1028244.0;488137.0;490738.0;534663.0;537506.0
05 Ávila;157640.0;158498.0;79071.0;79538.0;78569.0;78960.0
06 Badajoz;673559.0;676376.0;333112.0;334636.0;340447.0;341740.0
07 Baleares;1149460.0;1128908.0;572757.0;561803.0;576703.0;567105.0
08 Barcelona;5664579.0;5609350.0;2762689.0;2733466.0;2901890.0;2875884.0
48 Vizcaya;1152651.0;1149628.0;556212.0;554879.0;596439.0;594749.0
09 Burgos;356958.0;357070.0;178230.0;178337.0;178728.0;178733.0
10 Cáceres;394151.0;396487.0;195388.0;196619.0;198763.0;199868.0
11 Cádiz;1240155.0;1238714.0;611791.0;611357.0;628364.0;627357.0
39 Cantabria;581078.0;580229.0;281801.0;281564.0;299277.0;298665.0
12 Castellón;579962.0;576898.0;288077.0;286359.0;291885.0;290539.0
13 Ciudad Real;495761.0;499100.0;244877.0;246656.0;250884.0;252444.0
14 Córdoba;782979.0;785240.0;383790.0;385085.0;399189.0;400155.0
15 La Coruña;1119596.0;1119351.0;536470.0;536637.0;583126.0;582714.0
16 Cuenca;196329.0;197222.0;98542.0;98999.0;97787.0;98223.0
20 Guipúzcoa;723576.0;720592.0;353363.0;351696.0;370213.0;368896.0
17 Gerona;771044.0;761947.0;385298.0;380690.0;385746.0;381257.0
18 Granada;914678.0;912075.0;450555.0;449318.0;464123.0;462757.0
19 Guadalajara;257762.0;254308.0;130534.0;128854.0;127228.0;125454.0
21 Huelva;521870.0;519932.0;258413.0;257713.0;263457.0;262219.0
22 Huesca;220461.0;219345.0;111228.0;110599.0;109233.0;108746.0
23 Jaén;633564.0;638099.0;313356.0;315549.0;320208.0;322550.0
24 León;460001.0;463746.0;223744.0;225646.0;236257.0;238100.0
25 Lérida;434930.0;432866.0;220878.0;219509.0;214052.0;213357.0
27 Lugo;329587.0;331327.0;159686.0;160647.0;169901.0;170680.0
28 Madrid;6663394.0;6578079.0;3187312.0;3147872.0;3476082.0;3430207.0
29 Málaga;1661785.0;1641121.0;814349.0;804858.0;847436.0;836263.0
30 Murcia;1493898.0;1478509.0;747615.0;740143.0;746283.0;738366.0
31 Navarra;654214.0;647554.0;323631.0;320469.0;330583.0;327085.0
32 Orense;307651.0;309293.0;147522.0;148426.0;160129.0;160867.0
34 Palencia;160980.0;162035.0;79808.0;80323.0;81172.0;81712.0
35 Las Palmas;1120406.0;1109175.0;557774.0;552555.0;562632.0;556620.0
36 Pontevedra;942665.0;941772.0;455286.0;454899.0;487379.0;486873.0
26 La Rioja;316798.0;315675.0;156179.0;155758.0;160619.0;159917.0
37 Salamanca;330119.0;331473.0;160364.0;161065.0;169755.0;170408.0
38 Santa Cruz de Tenerife;1032983.0;1018510.0;508197.0;501477.0;524786.0;517033.0
40 Segovia;153129.0;153342.0;76813.0;76979.0;76316.0;76363.0
41 Sevilla;1942389.0;1939887.0;949212.0;948699.0;993177.0;991188.0
42 Soria;88636.0;88600.0;44814.0;44800.0;43822.0;43800.0
43 Tarragona;804664.0;795902.0;401258.0;396661.0;403406.0;399241.0
44 Teruel;134137.0;134572.0;67927.0;68060.0;66210.0;66512.0
45 Toledo;694844.0;687391.0;349090.0;345532.0;345754.0;341859.0
46 Valencia;2565124.0;2547986.0;1256350.0;1248927.0;1308774.0;1299059.0
47 Valladolid;519546.0;519851.0;253216.0;253356.0;266330.0;266495.0
49 Zamora;172539.0;174549.0;85341.0;86319.0;87198.0;88230.0
50 Zaragoza;964693.0;954811.0;471539.0;466839.0;493154.0;487972.0
51 Ceuta;84777.0;85144.0;42912.0;43177.0;41865.0;41967.0
52 Melilla;86487.0;86384.0;43894.0;43765.0;42593.0;42619.0
