fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-19;AV;0-9;271;234;505
2020-10-19;PA;0-9;247;225;472
2020-10-19;SO;0-9;157;151;308
2020-10-19;ZA;0-9;296;278;574
2020-10-19;BU;10-19;889;779;1668
2020-10-19;ZA;10-19;207;198;405
2020-10-19;LE;20-29;929;1085;2014
2020-10-19;PA;20-29;426;445;871
2020-10-19;SA;20-29;1103;1307;2410
2020-10-19;AV;30-39;448;599;1047
2020-10-19;BU;30-39;1372;1636;3008
2020-10-19;SE;30-39;616;791;1407
2020-10-19;SO;30-39;314;422;736
2020-10-19;VA;30-39;1585;2039;3624
2020-10-19;LE;40-49;1526;2169;3695
2020-10-19;SO;40-49;442;622;1064
2020-10-19;CyL;40-49;9712;12809;22521
2020-10-19;AV;50-59;590;888;1478
2020-10-19;LE;60-69;1275;1477;2752
2020-10-19;PA;60-69;537;555;1092
2020-10-19;SA;60-69;1197;1328;2525
2020-10-19;SO;60-69;360;419;779
2020-10-19;LE;70-79;962;931;1893
2020-10-19;PA;70-79;379;366;745
2020-10-19;SE;70-79;527;526;1053
2020-10-19;VA;70-79;1033;1112;2145
2020-10-19;SE;>80;732;1208;1940
2020-10-19;BU;0-9;839;725;1564
2020-10-19;SA;0-9;681;666;1347
2020-10-19;SE;0-9;437;412;849
2020-10-19;VA;0-9;1129;971;2100
2020-10-19;LE;10-19;747;693;1440
2020-10-19;SA;10-19;754;844;1598
2020-10-19;SE;10-19;414;360;774
2020-10-19;SO;10-19;173;156;329
2020-10-19;SO;20-29;268;331;599
2020-10-19;VA;20-29;1358;1555;2913
2020-10-19;ZA;20-29;216;259;475
2020-10-19;LE;30-39;1066;1591;2657
2020-10-19;SA;30-39;1149;1552;2701
2020-10-19;ZA;30-39;273;388;661
2020-10-19;AV;40-49;646;820;1466
2020-10-19;BU;40-49;1751;2053;3804
2020-10-19;PA;40-49;641;774;1415
2020-10-19;SE;40-49;849;1171;2020
2020-10-19;LE;50-59;1477;2110;3587
2020-10-19;PA;50-59;653;824;1477
2020-10-19;SA;50-59;1567;2212;3779
2020-10-19;SE;50-59;974;1444;2418
2020-10-19;ZA;50-59;453;638;1091
2020-10-19;CyL;50-59;9457;13331;22788
2020-10-19;SE;60-69;818;874;1692
2020-10-19;ZA;60-69;398;423;821
2020-10-19;CyL;60-69;7570;8544;16114
2020-10-19;BU;70-79;707;718;1425
2020-10-19;SA;70-79;829;904;1733
2020-10-19;CyL;70-79;5361;5492;10853
2020-10-19;LE;>80;1128;2051;3179
2020-10-19;PA;>80;368;663;1031
2020-10-19;SA;>80;1075;1963;3038
2020-10-19;ZA;>80;377;623;1000
2020-10-19;CyL;>80;6469;11694;18163
2020-10-19;LE;0-9;620;562;1182
2020-10-19;CyL;0-9;4677;4224;8901
2020-10-19;AV;10-19;261;252;513
2020-10-19;PA;10-19;325;330;655
2020-10-19;VA;10-19;1023;1027;2050
2020-10-19;CyL;10-19;4793;4639;9432
2020-10-19;AV;20-29;331;392;723
2020-10-19;BU;20-29;1151;1291;2442
2020-10-19;SE;20-29;489;602;1091
2020-10-19;CyL;20-29;6271;7267;13538
2020-10-19;PA;30-39;477;584;1061
2020-10-19;CyL;30-39;7300;9602;16902
2020-10-19;SA;40-49;1390;1850;3240
2020-10-19;VA;40-49;2082;2801;4883
