fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-02-26;Sevilla;1;;;0.0;XXXX;
2020-02-26;Almería;0;;;0.0;XXXX;
2020-02-26;Cádiz;0;;;0.0;XXXX;
2020-02-26;Córdoba;0;;;0.0;XXXX;
2020-02-26;Málaga;0;;;0.0;XXXX;
2020-02-26;Huelva;0;;;0.0;XXXX;
2020-02-26;Jaén;0;;;0.0;XXXX;
2020-02-26;Granada;0;;;0.0;XXXX;
2020-02-27;Granada;0;0.0;;0.0;XXXX;
2020-02-27;Almería;1;1.0;;0.0;XXXX;
2020-02-27;Cádiz;0;0.0;;0.0;XXXX;
2020-02-27;Córdoba;0;0.0;;0.0;XXXX;
2020-02-27;Sevilla;1;0.0;;0.0;XXXX;
2020-02-27;Jaén;0;0.0;;0.0;XXXX;
2020-02-27;Málaga;4;4.0;;0.0;XXXX;
2020-02-27;Huelva;0;0.0;;0.0;XXXX;
2020-02-28;Sevilla;2;1.0;;0.0;XXXX;
2020-02-28;Jaén;1;1.0;;0.0;XXXX;
2020-02-28;Málaga;4;0.0;;0.0;XXXX;
2020-02-28;Huelva;0;0.0;;0.0;XXXX;
2020-02-28;Almería;1;0.0;;0.0;XXXX;
2020-02-28;Córdoba;0;0.0;;0.0;XXXX;
2020-02-28;Cádiz;0;0.0;;0.0;XXXX;
2020-02-28;Granada;0;0.0;;0.0;XXXX;
2020-02-29;Almería;1;0.0;;0.0;XXXX;
2020-02-29;Córdoba;0;0.0;;0.0;XXXX;
2020-02-29;Cádiz;0;0.0;;0.0;XXXX;
2020-02-29;Huelva;0;0.0;;0.0;XXXX;
2020-02-29;Granada;0;0.0;;0.0;XXXX;
2020-02-29;Málaga;6;2.0;;0.0;XXXX;
2020-02-29;Sevilla;2;0.0;;0.0;XXXX;
2020-02-29;Jaén;1;0.0;;0.0;XXXX;
2020-03-01;Sevilla;2;0.0;;0.0;XXXX;
2020-03-01;Jaén;1;0.0;;0.0;XXXX;
2020-03-01;Málaga;6;0.0;;0.0;XXXX;
2020-03-01;Huelva;0;0.0;;0.0;XXXX;
2020-03-01;Córdoba;0;0.0;;0.0;XXXX;
2020-03-01;Cádiz;0;0.0;;0.0;XXXX;
2020-03-01;Almería;1;0.0;;0.0;XXXX;
2020-03-01;Granada;0;0.0;;0.0;XXXX;
2020-03-02;Almería;1;0.0;;0.0;XXXX;
2020-03-02;Cádiz;0;0.0;;0.0;XXXX;
2020-03-02;Granada;0;0.0;;0.0;XXXX;
2020-03-02;Huelva;0;0.0;;0.0;XXXX;
